repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
9,16,-1,left,-1.5113273035,0.3510802205230387,-2.19515525,-0.79875495
9,16,-1,right,-0.18468018830475,0.19391519467925458,-0.565146175,0.19346732500000013
10,8,-1.71,left,-1.574429190375,0.424236227773563,-2.37316925,-0.685592425
10,8,-1.71,right,-0.16775989979765,0.2920054612906539,-0.7517286,0.40577432500000005
10,8,-1.35,left,-0.74702904692475,0.6951651666413123,-2.134056,0.6296466250000001
10,8,-1.35,right,-0.26419498179025,0.2694182163270681,-0.7950138,0.25680717500000017
10,8,-1,left,-0.561164209925,0.7139490575054805,-1.958296,0.8525542000000005
10,8,-1,right,-0.539797950964,0.2865251045041647,-1.113466,0.03415150750000026
10,12,-1.71,left,-2.0473865165,0.5252354513232617,-3.0945630000000004,-1.02032275
10,12,-1.71,right,-0.5161007096,0.22572691660182603,-0.9549443249999999,-0.07012635499999977
10,12,-1.35,left,-1.1177155436925,0.4999007559227245,-2.1094194999999996,-0.123727075
10,12,-1.35,right,-0.4557043411625,0.23427841574585068,-0.918303375,0.0010506385000000323
10,12,-1,left,-1.436426065875,0.3820373361807385,-2.19620525,-0.685429175
10,12,-1,right,-0.2569362394704,0.23157303772608637,-0.723420725,0.18607955000000007
10,16,-1.71,left,-1.87587978325,0.39920798970424826,-2.64747075,-1.066767
10,16,-1.71,right,0.15166531147125,0.20702335137777422,-0.266358775,0.5501901500000002
10,16,-1.35,left,-1.52549688525,0.2972131968642815,-2.1017867500000005,-0.9160243749999996
10,16,-1.35,right,-0.09592575130675,0.21069066696056513,-0.512595875,0.3229795500000003
10,16,-1,left,-1.1532782935399999,0.34412345542319206,-1.8378970000000001,-0.48553274999999996
10,16,-1,right,-0.316165101107525,0.2434187098413117,-0.8061329500000001,0.155650575
11,8,-1.71,left,-1.372775015375,0.3748426929401074,-2.07868125,-0.6407109999999998
11,8,-1.71,right,-0.064659110159625,0.2693487078001945,-0.5959682,0.4507187250000001
11,8,-1.35,left,-0.6426838956452,0.5292631060211086,-1.71556625,0.4478044750000002
11,8,-1.35,right,0.0541538191091,0.2533386254083709,-0.44474810000000004,0.5544398750000001
11,8,-1,left,-0.66018416383975,0.6175428306659075,-1.83261475,0.6025670000000002
11,8,-1,right,0.15036047595325,0.5134810359384518,-0.8473051499999998,1.1670645000000002
11,12,-1.71,left,-1.3095328469825,0.5340051881630491,-2.3795534999999997,-0.2253059749999999
11,12,-1.71,right,-0.29874321196825,0.23708193407361655,-0.7432832500000001,0.193468925
11,12,-1.35,left,-0.219056097884325,0.4825407749360026,-1.17426975,0.7280478250000003
11,12,-1.35,right,-0.0050852859455000005,0.2405409402343577,-0.47729467500000006,0.48007680000000014
11,12,-1,left,-1.108974660672,0.47136670824659344,-2.0209135000000003,-0.14426504999999998
11,12,-1,right,-0.32211153959295,0.2937798011835228,-0.912528,0.2643535
11,16,-1.71,left,-1.1312558570275,0.3441189781500338,-1.8280335,-0.45878919999999984
11,16,-1.71,right,0.07523206641165,0.21469221627465354,-0.33540692499999997,0.5055400750000001
11,16,-1.35,left,-1.45265046655,0.4888133800930729,-2.4117905,-0.4637729749999997
11,16,-1.35,right,-0.026988011292875,0.17783330847443957,-0.367732225,0.324116625
11,16,-1,left,-1.3513833137875,0.37662608512752344,-2.1187532499999997,-0.6390805249999997
11,16,-1,right,-0.310381184166,0.21754085673881318,-0.7353326499999999,0.11462885000000032
12,8,-1.71,left,-1.409504970045,0.3915968764490707,-2.1822505,-0.6173371999999999
12,8,-1.71,right,0.2893170316405,0.3122059758290866,-0.305001,0.9122862249999999
12,8,-1.35,left,-1.340081090605,0.6198084326436729,-2.51422575,-0.0419179649999992
12,8,-1.35,right,-0.28391723025975,0.34464323581367745,-0.97147185,0.39684237500000025
12,8,-1,left,-1.296704110075,0.45949331563505397,-2.2085945000000002,-0.3451615249999995
12,8,-1,right,-0.131591634493975,0.31786605091711106,-0.76872535,0.46092290000000036
12,12,-1.71,left,-1.81349322525,0.4293367130109558,-2.63320725,-0.956489825
12,12,-1.71,right,-0.052707491703725,0.21063052954918232,-0.466982575,0.35360430000000004
12,12,-1.35,left,-1.1378873518,0.41947081551076776,-1.9691832500000002,-0.302840975
